title,year,certificate,runtime_min,genre,rating,votes,director_star
Glee,2009–2015,TV-PG,44,"Comedy, Drama, Music            ",6.9,144534,Lea Michele
The Revenant,2015,R,156,"Action, Adventure, Drama            ",8.0,770111,Alejandro G. Iñárritu
Single Drunk Female,2022– ,TV-MA,23,"Comedy, Drama            ",6.4,1477,Sofia Black-D'Elia
American Dad!,2005– ,PG,22,"Animation, Comedy            ",7.4,123982,Seth MacFarlane
Hidden Figures,2016,PG-13,127,"Biography, Drama, History            ",7.8,219944,Theodore Melfi
10 Things I Hate About You,1999,G,97,"Comedy, Drama, Romance            ",7.3,325773,Gil Junger
The Lion King,1994,PG-13,88,"Animation, Adventure, Drama            ",8.5,1014027,Roger Allers
Captain America: The First Avenger,2011,TV-MA,124,"Action, Adventure, Sci-Fi            ",6.9,810850,Joe Johnston
American Crime Story,2016– ,PG-13,42,"Biography, Crime, Drama            ",8.4,93007,Sarah Paulson
The Amazing Spider-Man 2,2014,PG,142,"Action, Adventure, Sci-Fi            ",6.6,476387,Marc Webb
The Ice Age Adventures of Buck Wild,2022,G,82,"Animation, Adventure, Comedy            ",4.6,9358,John C. Donkin
Cars,2006,R,117,"Animation, Adventure, Comedy            ",7.2,401000,John Lasseter
Black Swan,2010,PG,108,"Drama, Thriller            ",8.0,740583,Darren Aronofsky
Coco,I 2017,TV-Y7,105,"Animation, Adventure, Comedy            ",8.4,466633,Lee Unkrich
Miraculous: Tales of Ladybug & Cat Noir,2015– ,PG-13,20,"Animation, Action, Adventure            ",7.9,10245,Cristina Valenzuela
Rogue One: A Star Wars Story,2016,TV-PG,133,"Action, Adventure, Sci-Fi            ",7.8,599276,Gareth Edwards
Last Man Standing,2011–2021,PG,30,Comedy            ,7.6,33125,Tim Allen
Zootopia,2016,PG-13,108,"Animation, Adventure, Comedy            ",8.0,475808,Byron Howard
Sweet Home Alabama,2002,PG-13,108,"Comedy, Romance            ",6.2,110559,Andy Tennant
Thor,2011,TV-14,115,"Action, Adventure, Fantasy            ",7.0,809728,Kenneth Branagh
The Falcon and the Winter Soldier,2021,R,50,"Action, Adventure, Drama            ",7.3,191762,Anthony Mackie
The Shape of Water,2017,No data,123,"Drama, Fantasy, Romance            ",7.3,405430,Guillermo del Toro
Angel,1999–2004,TV-14,44,"Action, Drama, Fantasy            ",8.0,68951,David Boreanaz
Burn Notice,2007–2013,TV-PG,44,"Action, Crime, Drama            ",8.1,72582,Jeffrey Donovan
Snowdrop,2021– ,TV-14,85,"Crime, Drama, Romance            ",9.0,7600,Jung Hae-In
The Killing,2011–2014,TV-14,45,"Crime, Drama, Mystery            ",8.3,107937,Mireille Enos
Captain America: Civil War,2016,PG-13,147,"Action, Adventure, Sci-Fi            ",7.8,743137,Anthony Russo
Cheaper by the Dozen,2022,PG,102,"Adventure, Comedy, Family            ",7.5,606835,Gail Lerner
Frozen,I 2013,PG,104,"Animation, Adventure, Comedy            ",7.4,599725,Chris Buck
X-Men,2000,PG-13,138,"Action, Adventure, Sci-Fi            ",7.9,903095,Bryan Singer
Star Wars: Episode VII - The Force Awakens,2015,PG-13,107,"Action, Adventure, Sci-Fi            ",7.1,26570,J.J. Abrams
Ron's Gone Wrong,2021,PG,145,"Animation, Adventure, Comedy            ",7.0,559376,Sarah Smith
Independence Day,1996,PG-13,30,"Action, Adventure, Sci-Fi            ",6.5,7212,Roland Emmerich
The Proud Family,2001–2005,TV-Y,101,"Animation, Comedy, Family            ",7.8,87926,Kyla Pratt
The Sandlot,1993,PG,23,"Comedy, Drama, Family            ",8.2,41773,David Mickey Evans
Boy Meets World,1993–2000,TV-G,141,"Comedy, Drama, Family            ",7.3,822589,Ben Savage
Avengers: Age of Ultron,2015,PG-13,92,"Action, Adventure, Sci-Fi            ",6.3,46304,Joss Whedon
Romy and Michele's High School Reunion,1997,R,111,Comedy            ,8.1,690966,David Mirkin
Ratatouille,2007,G,136,"Animation, Adventure, Comedy            ",7.6,640559,Brad Bird
Guardians of the Galaxy Vol. 2,2017,PG-13,23,"Action, Adventure, Comedy            ",8.9,94685,James Gunn
Gravity Falls,2012–2016,TV-Y7,129,"Animation, Action, Adventure            ",7.1,298124,Jason Ritter
Beauty and the Beast,I 2017,PG,119,"Adventure, Family, Fantasy            ",7.1,313340,Bill Condon
Pretty Woman,1990,R,107,"Comedy, Romance            ",6.5,36690,Garry Marshall
The Night House,2020,R,60,"Horror, Mystery, Thriller            ",7.6,15963,David Bruckner
Mayans M.C.,2018– ,TV-MA,44,"Crime, Drama, Thriller            ",8.0,118208,JD Pardo
Revenge,2011–2015,TV-14,115,"Drama, Mystery, Thriller            ",8.1,699489,Madeleine Stowe
The Incredibles,2004,PG,115,"Animation, Action, Adventure            ",8.1,484475,Brad Bird
"Three Billboards Outside Ebbing, Missouri",2017,R,140,"Comedy, Crime, Drama            ",7.6,756814,Martin McDonagh
Star Wars: Episode III - Revenge of the Sith,2005,PG-13,142,"Action, Adventure, Fantasy            ",5.9,3286,George Lucas
The Wonder Years,2021– ,TV-PG,146,"Comedy, Drama, Family            ",6.6,682949,Elisha Williams
Star Wars: Episode II - Attack of the Clones,2002,PG,42,"Action, Adventure, Fantasy            ",8.1,446169,George Lucas
The Help,2011,PG-13,22,Drama            ,7.4,15464,Tate Taylor
Chucky,2021– ,TV-MA,42,"Horror, Thriller            ",7.2,22353,Zackary Arthur
Black-ish,2014–2022,TV-PG,124,Comedy            ,7.7,49338,Anthony Anderson
Alias,2001–2006,TV-14,135,"Action, Drama, Mystery            ",8.7,1238917,Jennifer Garner
Star Wars: Episode V - The Empire Strikes Back,1980,PG,45,"Action, Adventure, Fantasy            ",6.9,326724,Irvin Kershner
Solo: A Star Wars Story,2018,PG-13,152,"Action, Adventure, Sci-Fi            ",8.0,13054,Ron Howard
Grantchester,2014– ,TV-14,140,"Crime, Drama, Mystery            ",8.1,358495,Robson Green
Ford v Ferrari,2019,PG-13,131,"Action, Biography, Drama            ",6.6,181172,James Mangold
Red Sparrow,2018,R,143,"Action, Drama, Thriller            ",8.3,1012612,Francis Lawrence
Star Wars: Episode VI - Return of the Jedi,1983,PG,30,"Action, Adventure, Fantasy            ",6.9,387759,Richard Marquand
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,PG,107,"Adventure, Family, Fantasy            ",8.6,14823,Andrew Adamson
Mr Inbetween,2018–2021,TV-MA,132,"Crime, Drama            ",7.3,146951,Scott Ryan
Nomadland,2020,R,118,Drama            ,8.3,851267,Chloé Zhao
Die Hard,1988,R,100,"Action, Thriller            ",6.9,234831,John McTiernan
She-Hulk,2022– ,PG,144,"Action, Adventure, Comedy            ",8.1,302102,Tatiana Maslany
The Lion King,2019,PG,129,"Animation, Adventure, Drama            ",6.9,420281,Jon Favreau
Soul,2020,PG-13,126,"Animation, Adventure, Comedy            ",6.6,291764,Pete Docter
X-Men: Apocalypse,2016,PG-13,0,"Action, Adventure, Sci-Fi            ",7.9,26017,Bryan Singer
Pirates of the Caribbean: Dead Men Tell No Tales,2017,TV-PG,0,"Action, Adventure, Fantasy            ",7.2,109945,Joachim Rønning
Star Wars: The Bad Batch,2021– ,PG,0,"Animation, Action, Adventure            ",0.0,0,Ming-Na Wen
Willow,1988,No data,0,"Action, Adventure, Drama            ",0.0,0,Ron Howard
Captain America: The Winter Soldier,2014,PG-13,136,"Action, Adventure, Sci-Fi            ",7.8,807135,Anthony Russo
Happy Endings,2011–2020,TV-14,22,"Comedy, Romance            ",7.8,37714,Eliza Coupe
Moulin Rouge!,2001,PG-13,127,"Drama, Musical, Romance            ",7.6,278729,Baz Luhrmann
Dead Poets Society,1989,PG,128,"Comedy, Drama            ",8.1,466034,Peter Weir
Toy Story,1995,G,81,"Animation, Adventure, Comedy            ",8.3,954177,John Lasseter
Alita: Battle Angel,2019,PG-13,122,"Action, Adventure, Sci-Fi            ",7.3,256104,Robert Rodriguez
Home Alone,1990,PG,103,"Comedy, Family            ",7.7,549055,Chris Columbus
Iron Man 3,2013,PG-13,130,"Action, Adventure, Sci-Fi            ",7.2,817378,Shane Black
Office Space,1999,R,89,Comedy            ,7.7,258234,Mike Judge
Star Wars: Episode VIII - The Last Jedi,2017,PG-13,152,"Action, Adventure, Fantasy            ",6.9,606114,Rian Johnson
Legion,2017–2019,TV-MA,60,"Action, Drama, Sci-Fi            ",8.2,88280,Dan Stevens
Hercules,1997,G,93,"Animation, Adventure, Comedy            ",7.3,222551,Ron Clements
Broadchurch,2013–2017,TV-MA,48,"Crime, Drama, Mystery            ",8.4,108039,David Tennant
Inside Out,I 2015,PG,95,"Animation, Adventure, Comedy            ",8.2,679085,Pete Docter
The Sound of Music,1965,G,172,"Biography, Drama, Family            ",8.1,223078,Robert Wise
Dodgeball: A True Underdog Story,2004,PG-13,92,"Comedy, Sport            ",6.7,242845,Rawson Marshall Thurber
X-Men: Days of Future Past,2014,PG-13,132,"Action, Adventure, Sci-Fi            ",8.0,693086,Bryan Singer
Tangled,2010,PG,100,"Animation, Adventure, Comedy            ",7.8,436008,Nathan Greno
Finding Nemo,2003,G,100,"Animation, Adventure, Comedy            ",8.2,1008692,Andrew Stanton
Good Trouble,2019– ,TV-14,45,"Comedy, Drama, Romance            ",7.5,6240,Cierra Ramirez
X-Men Origins: Wolverine,2009,PG-13,107,"Action, Sci-Fi            ",6.6,492041,Gavin Hood
Fantastic Mr. Fox,2009,PG,87,"Animation, Adventure, Comedy            ",7.9,222266,Wes Anderson
Gifted,2017,PG-13,101,Drama            ,7.6,111985,Marc Webb
Private Practice,2007–2013,TV-14,60,"Comedy, Drama, Romance            ",6.8,25493,Kate Walsh
Mulan,2020,PG-13,115,"Action, Adventure, Drama            ",5.7,142424,Niki Caro
My Name Is Earl,2005–2009,TV-14,22,Comedy            ,7.8,100986,Jason Lee
Bluey,2018– ,TV-Y,7,"Animation, Family            ",9.7,6075,David McCormack
Paddington 2,2017,PG,103,"Adventure, Comedy, Family            ",7.8,72018,Paul King
Terminator: Dark Fate,2019,R,128,"Action, Adventure, Sci-Fi            ",6.2,169899,Tim Miller
Bad Times at the El Royale,2018,R,141,"Crime, Drama, Mystery            ",7.1,143459,Drew Goddard
The Good Karma Hospital,2017– ,Not Rated,60,Drama            ,7.9,2107,Amanda Redman
Ugly Betty,2006–2010,TV-PG,60,"Comedy, Drama, Romance            ",6.7,43109,America Ferrera
Night at the Museum,2006,PG,108,"Adventure, Comedy, Family            ",6.4,336815,Shawn Levy
Ant-Man,2015,PG-13,117,"Action, Adventure, Comedy            ",7.3,633790,Peyton Reed
Up,2009,PG,96,"Animation, Adventure, Comedy            ",8.3,1004390,Pete Docter
Alien: Covenant,2017,R,122,"Horror, Sci-Fi, Thriller            ",6.4,272345,Ridley Scott
The Little Mermaid,2023,6+,100,"Adventure, Family, Fantasy            ",7.4,146593,Rob Marshall
Spider-Man: Across the Spider-Verse - Part One,2022,R,104,"Animation, Action, Adventure            ",6.7,123929,Joaquim Dos Santos
The Rocky Horror Picture Show,1975,PG-13,113,"Comedy, Horror, Musical            ",7.8,209989,Jim Sharman
Robin Hood: Men in Tights,1993,PG,43,"Adventure, Comedy, Musical            ",6.6,621,Mel Brooks
Remember the Titans,2000,TV-14,49,"Biography, Drama, Sport            ",6.3,12214,Boaz Yakin
Promised Land,2022– ,TV-MA,136,Drama            ,6.6,509056,Susan Ortiz
War of the Worlds,2019– ,PG-13,124,"Drama, Mystery, Sci-Fi            ",7.0,784828,Léa Drucker
Pirates of the Caribbean: On Stranger Tides,2011,PG-13,119,"Action, Adventure, Fantasy            ",7.7,613768,Rob Marshall
Iron Man 2,2010,R,128,"Action, Adventure, Sci-Fi            ",6.6,132388,Jon Favreau
Birdman or (The Unexpected Virtue of Ignorance),2014,PG,55,"Comedy, Drama            ",7.3,126350,Alejandro G. Iñárritu
The Parent Trap,1998,TV-MA,113,"Adventure, Comedy, Drama            ",5.7,177867,Nancy Meyers
Luke Cage,2016–2018,PG-13,108,"Action, Crime, Drama            ",6.4,404082,Mike Colter
X-Men: Dark Phoenix,2019,PG,0,"Action, Adventure, Sci-Fi            ",0.0,0,Simon Kinberg
Alice in Wonderland,I 2010,No data,0,"Adventure, Family, Fantasy            ",0.0,0,Tim Burton
Ice Age,2002,PG,81,"Animation, Adventure, Comedy            ",7.5,469404,Chris Wedge
WALL·E,2008,G,98,"Animation, Adventure, Family            ",8.4,1073389,Andrew Stanton
Juno,2007,PG-13,96,"Comedy, Drama            ",7.5,511177,Jason Reitman
Iron Fist,2017–2018,TV-MA,55,"Action, Adventure, Crime            ",6.5,125872,Finn Jones
Pirates of the Caribbean: Dead Man's Chest,2006,PG-13,151,"Action, Adventure, Fantasy            ",7.4,690820,Gore Verbinski
Thor: The Dark World,2013,PG-13,112,"Action, Adventure, Fantasy            ",6.8,651208,Alan Taylor
The Defenders,2017,TV-MA,50,"Action, Adventure, Crime            ",7.3,101998,Charlie Cox
Boston Legal,2004–2008,TV-14,44,"Comedy, Crime, Drama            ",8.5,45376,James Spader
NYPD Blue,1993–2005,TV-14,45,"Crime, Drama, Mystery            ",7.7,13342,Dennis Franz
High Fidelity,2020,TV-MA,30,"Comedy, Drama, Romance            ",7.7,11057,Zoë Kravitz
Toy Story 4,2019,G,100,"Animation, Adventure, Comedy            ",7.7,234471,Josh Cooley
Mary Poppins,1964,G,139,"Comedy, Family, Fantasy            ",7.8,167983,Robert Stevenson
The Beatles: Get Back,2021,PG-13,468,"Documentary, Biography, Music            ",9.1,18233,The Beatles
Pearl Harbor,2001,PG-13,183,"Action, Drama, History            ",6.2,326000,Michael Bay
King Arthur,2004,PG-13,126,"Action, Adventure, Drama            ",6.3,165785,Antoine Fuqua
Percy Jackson & the Olympians: The Lightning Thief,2010,PG,118,"Adventure, Family, Fantasy            ",5.9,185619,Chris Columbus
Secrets of Sulphur Springs,2021– ,TV-PG,24,"Adventure, Drama, Family            ",7.8,2554,Preston Oliver
The New Mutants,2020,PG-13,94,"Action, Horror, Mystery            ",5.3,72783,Josh Boone
500 Days of Summer,2009,PG-13,95,"Comedy, Drama, Romance            ",7.7,499103,Marc Webb
Ad Astra,2019,PG-13,123,"Adventure, Drama, Mystery            ",6.5,224416,James Gray
Big Hero 6,2014,PG,102,"Animation, Action, Adventure            ",7.8,443369,Don Hall
The Fault in Our Stars,2014,PG-13,126,"Drama, Romance            ",7.7,366231,Josh Boone
Aladdin,1992,G,90,"Animation, Adventure, Comedy            ",8.1,396918,Ron Clements
"Monsters, Inc.",2001,G,92,"Animation, Adventure, Comedy            ",8.1,874971,Pete Docter
Disney's Snow White,2023,PG,118,"Adventure, Drama, Family            ",7.6,281007,Marc Webb
Incredibles 2,2018,TV-MA,55,"Animation, Action, Adventure            ",8.1,12501,Brad Bird
Godfather of Harlem,2019– ,PG,100,"Crime, Drama            ",6.3,85202,Forest Whitaker
Sky High,2005,G,97,"Action, Comedy, Family            ",7.1,137879,Mike Mitchell
The Princess and the Frog,2009,TV-MA,248,"Animation, Adventure, Comedy            ",6.9,12141,Ron Clements
A Teacher,2020,G,95,Drama            ,7.2,284152,Kate Mara
